Name	Set	ImageFile	Color	Cost	ConvertedCost	Type	Power	Toughness	Rarity	Text
Abuna Acolyte	som	1	W	1W	2	Creature - Cat Cleric	1	1	U	{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn. {T}: Prevent the next 2 damage that would be dealt to target artifact creature this turn.
Arrest	som	2	W	2W	3	Enchantment - Aura			C	Enchant creature Enchanted creature can't attack or block, and its activated abilities can't be activated.
Auriok Edgewright	som	3	W	WW	2	Creature - Human Soldier	2	2	U	Metalcraft - Auriok Edgewright has double strike as long as you control three or more artifacts.
Auriok Sunchaser	som	4	W	1W	2	Creature - Human Soldier	1	1	C	Metalcraft - As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.
Dispense Justice	som	5	W	2W	3	Instant			U	Target player sacrifices an attacking creature. Metalcraft - That player sacrifices two attacking creatures instead if you control three or more artifacts.
Elspeth Tirel	som	6	W	3WW	5	Planeswalker - Elspeth	4		M	+2: You gain 1 life for each creature you control. -2: Put three 1/1 white Soldier creature tokens onto the battlefield. -5: Destroy all other permanents except for lands and tokens.
Fulgent Distraction	som	7	W	2W	3	Instant			C	Choose two target creatures. Tap those creatures, then unattach all Equipment from them.
Ghalma's Warden	som	8	W	3W	4	Creature - Elephant Soldier	2	4	C	Metalcraft - Ghalma's Warden gets +2/+2 as long as you control three or more artifacts.
Glimmerpoint Stag	som	9	W	2WW	4	Creature - Elk	3	3	U	Vigilance When Glimmerpoint Stag enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.
Glint Hawk	som	10	W	W	1	Creature - Bird	2	2	C	Flying When Glint Hawk enters the battlefield, sacrifice it unless you return an artifact you control to its owner's hand.
Indomitable Archangel	som	11	W	2WW	4	Creature - Angel	4	4	M	Flying Metalcraft - Artifacts you control have shroud as long as you control three or more artifacts.
Kemba, Kha Regent	som	12	W	1WW	3	Legendary Creature - Cat Cleric	2	4	R	At the beginning of your upkeep, put a 2/2 white Cat creature token onto the battlefield for each Equipment attached to Kemba, Kha Regent.
Kemba's Skyguard	som	13	W	1WW	3	Creature - Cat Knight	2	2	C	Flying When Kemba's Skyguard enters the battlefield, you gain 2 life.
Leonin Arbiter	som	14	W	1W	2	Creature - Cat Cleric	2	2	R	Players can't search libraries. Any player may pay {2} for that player to ignore this effect until end of turn.
Loxodon Wayfarer	som	15	W	2W	3	Creature - Elephant Monk	1	5	C	
Myrsmith	som	16	W	1W	2	Creature - Human Artificer	2	1	U	Whenever you cast an artifact spell, you may pay {1}. If you do, put a 1/1 colorless Myr artifact creature token onto the battlefield.
